,0,1,2,3,4,5,6,7,8,9,label
275,1,0,0.07808278,0.027579736,0.032292236,0.085599777,0.028547979,0.038315368,0.050252924,0.03642623,0
280,1,0,0.078106073,0.027538302,0.032244783,0.085470522,0.028513349,0.038257329,0.05017912,0.03476334,0
283,1,0,0.084349941,0.029784607,0.034879904,0.092458294,0.030829047,0.117025723,0.054272275,0.043752513,0
287,1,0,0.078218958,0.027626917,0.032348533,0.085746639,0.03195727,0.038380454,0.050340557,0.034881034,0
310,1,0,0.078297996,0.027650194,0.032379862,0.085866773,0.032459545,0.038681186,0.050383027,0.0349422,0
320,1,0,0.077968274,0.027538461,0.032244919,0.08551173,0.028519052,0.038258293,0.050179814,0.034857787,0
363,1,0,0.077959064,0.027534995,0.032240904,0.085460137,0.028512361,0.038252722,0.050172985,0.03477333,0
366,1,0,0.077957324,0.027534542,0.03224037,0.08545877,0.028503458,0.038252114,0.050172196,0.034765805,0
381,1,0,0.078134127,0.027594346,0.032316176,0.085658775,0.028602162,0.038420786,0.05028384,0.037004117,0
386,1,0,0.077985975,0.027544855,0.032252145,0.085498766,0.02885251,0.038266105,0.050190647,0.034800525,0
388,1,0,0.078052312,0.027568101,0.032279672,0.086685291,0.028637422,0.038298738,0.050236777,0.03480211,0
389,1,0,0.078426146,0.027699134,0.032433216,0.085969873,0.028673853,0.038525667,0.050472123,0.040905218,0
401,1,0,0.078402875,0.02754642,0.032254279,0.085497428,0.028523714,0.038268697,0.050196278,0.034787837,0
405,1,0,0.079708827,0.027972128,0.035912373,0.08692792,0.028969737,0.039965247,0.063161487,0.036207207,0
424,1,0,0.078042669,0.027565643,0.032275541,0.086198259,0.028971481,0.03829457,0.050227085,0.034809175,0
428,1,0,0.077959135,0.027535084,0.032241017,0.085460502,0.028502725,0.03825319,0.05017318,0.034787113,0
432,1,0,0.077960658,0.02753561,0.03224164,0.08546571,0.028545981,0.038253603,0.050174132,0.034760482,0
474,1,0,0.077970513,0.027539216,0.032245856,0.085473544,0.028684697,0.03825861,0.050180697,0.034764705,0
485,1,0,0.077977149,0.027541573,0.032248591,0.085498069,0.028511131,0.038264868,0.050184974,0.035008526,0
509,1,0,0.077991037,0.027535257,0.032241206,0.085460985,0.028502897,0.038254533,0.050173473,0.034760879,0
520,1,0,0.077963027,0.027536551,0.032242738,0.085465173,0.028581733,0.038254912,0.050175852,0.034765262,0
528,1,0,0.078114051,0.027589903,0.032305208,0.085636084,0.028647187,0.03832903,0.050273081,0.036754704,0
532,1,0,0.078419692,0.027697865,0.032431609,0.085980749,0.034592188,0.038479017,0.050469778,0.034968661,0
536,1,0,0.119391707,0.041377347,0.048619055,0.137007325,0.04639426,0.058709951,0.576518281,0.052539706,0
548,1,0,0.077961399,0.027535819,0.032241891,0.085467622,0.028507599,0.03825409,0.050175259,0.034804118,0
555,1,0,0.077959004,0.027535157,0.032241137,0.08546068,0.028505818,0.03825297,0.050173305,0.034786674,0
559,1,0,0.078080978,0.027547189,0.032260069,0.085497909,0.028822144,0.038269663,0.050195179,0.034841178,0
568,1,0,0.07844041,0.027704087,0.032451151,0.089013974,0.030302717,0.038568743,0.050595695,0.036233824,0
595,1,0,0.07888723,0.027858859,0.032606312,0.086511898,0.037145721,0.038689086,0.050743588,0.038170376,0
600,1,0,0.077964171,0.027537032,0.032241536,0.085471631,0.028504695,0.038258298,0.050176638,0.034853525,0
611,1,0,0.077988046,0.027543964,0.032251346,0.085532251,0.028541883,0.038265123,0.050349355,0.034880002,0
615,1,0,0.077957981,0.027534782,0.032240656,0.085459499,0.028519007,0.03825244,0.050172615,0.034759225,0
619,1,0,0.077982303,0.027543281,0.032250597,0.085488882,0.028800716,0.038264237,0.050188189,0.034801865,0
644,1,0,0.089793778,0.031991919,0.037131761,0.098653896,0.032835628,0.044075388,0.057789981,0.191203953,0
663,1,0,0.078343428,0.028279885,0.03228165,0.086387094,0.028562959,0.038450406,0.050342815,0.040242573,0
673,1,0,0.077967186,0.027536465,0.032242634,0.085464945,0.028575457,0.038254795,0.050175727,0.034763641,0
686,1,0,0.078057049,0.027558983,0.032502803,0.085565757,0.028514867,0.038858441,0.050237857,0.035387134,0
691,1,0,0.078113124,0.027566262,0.032292731,0.085543627,0.02854224,0.038306202,0.050221972,0.035662214,0
698,1,0,0.15442378,0.054772501,0.07457857,0.16948951,0.056089429,0.122053885,0.980633646,0.099951023,0
700,1,0,0.077960655,0.027535714,0.032241765,0.085462512,0.028554473,0.038253757,0.050174346,0.034760559,0
712,1,0,0.077971415,0.027537208,0.032243487,0.085545348,0.028506837,0.038256144,0.050179306,0.034777315,0
713,1,0,0.119860248,0.041093427,0.097793576,0.128087089,0.079638643,0.194904332,0.0953473,0.293947478,0
715,1,0,0.079107686,0.033151573,0.032712637,0.088808613,0.028921234,0.038816933,0.050906838,0.042581871,0
725,1,0,0.077959761,0.0275353,0.032241284,0.085462579,0.028505067,0.038253425,0.050173887,0.034791597,0
737,1,0,0.078299358,0.027560461,0.032246473,0.085486439,0.028520988,0.038267034,0.050184991,0.034774282,0
753,1,0,0.07796365,0.027536754,0.032242954,0.085465746,0.028509914,0.038255203,0.050176836,0.034844244,0
754,1,0,0.07870917,0.027785942,0.032562049,0.086230696,0.028795934,0.038639524,0.050625168,0.043945168,0
756,1,0,0.078051951,0.027567988,0.032279546,0.085574941,0.029731752,0.038298559,0.05023311,0.03481639,0
775,1,0,0.078148796,0.027602247,0.032319528,0.08568554,0.03100925,0.038346022,0.050295353,0.034852862,0
807,1,0,0.144846523,0.051159672,0.061433716,0.159876347,0.908242528,0.071074551,0.09322435,0.064701375,0
826,1,0,0.077965494,0.027537625,0.032243752,0.085490914,0.028505122,0.038260292,0.050177607,0.034848055,0
839,1,0,0.077973896,0.027540416,0.032247242,0.085488516,0.028685808,0.038260289,0.050182875,0.034798494,0
846,1,0,0.07800253,0.027551071,0.032293569,0.085527021,0.028542194,0.038281001,0.05020187,0.035242304,0
852,1,0,0.077968124,0.027535651,0.032241647,0.085473522,0.028515803,0.038253625,0.050174181,0.034776079,0
859,1,0,0.077969351,0.027538197,0.032244935,0.085471905,0.028506673,0.038296456,0.050178669,0.034856202,0
862,1,0,0.077974215,0.027540529,0.032247392,0.085477588,0.028575349,0.038260424,0.050183096,0.034924461,0
864,1,0,0.078326872,0.027663494,0.03239159,0.085858709,0.028635916,0.038702368,0.050406982,0.039332266,0
867,1,0,0.077957507,0.027534408,0.032240219,0.085458394,0.028504338,0.038251969,0.050171944,0.034759758,0
880,1,0,0.077967823,0.027538271,0.032244739,0.085581689,0.028534074,0.03825728,0.050181788,0.034764503,0
892,1,0,0.080667276,0.02791524,0.03267466,0.090384342,0.039013406,0.03881909,0.050890274,0.035552213,0
895,1,0,0.078325132,0.027664464,0.032392859,0.085864504,0.033282863,0.038432648,0.050408981,0.035000684,0
906,1,0,0.077984578,0.027544178,0.032251667,0.085488752,0.028869094,0.038265512,0.050189771,0.034772259,0
921,1,0,0.099243054,0.033983154,0.234802862,0.108691977,0.039740783,0.133758109,0.063175075,0.044609092,0
943,1,0,0.077988108,0.027567125,0.032254112,0.085657598,0.028577212,0.038270823,0.050191779,0.034828129,0
955,1,0,0.07810073,0.027584931,0.032299324,0.085844646,0.030143331,0.038322053,0.050278228,0.034825344,0
